Human_BIP number	Human_Gene stable ID	Human_Chromosome/scaffold name	Human_Gene start (bp)	Human_Gene end (bp)	Human_Strand	Human_Gene description	Human_Gene name	Human_Gene type	Human_Gene stable ID.1	Human_Chromosome/scaffold name.1	Human_Gene start (bp).1	Human_Gene end (bp).1	Human_Strand.1	Human_Gene description.1	Human_Gene name.1	Human_Gene type.1	Human_distance	Crab-Eating_Macaque_BIP number	Crab-Eating_Macaque_Gene stable ID	Crab-Eating_Macaque_Chromosome/scaffold name	Crab-Eating_Macaque_Gene start (bp)	Crab-Eating_Macaque_Gene end (bp)	Crab-Eating_Macaque_Strand	Crab-Eating_Macaque_Gene description	Crab-Eating_Macaque_Gene name	Crab-Eating_Macaque_Gene type	Crab-Eating_Macaque_Gene stable ID.1	Crab-Eating_Macaque_Chromosome/scaffold name.1	Crab-Eating_Macaque_Gene start (bp).1	Crab-Eating_Macaque_Gene end (bp).1	Crab-Eating_Macaque_Strand.1	Crab-Eating_Macaque_Gene description.1	Crab-Eating_Macaque_Gene name.1	Crab-Eating_Macaque_Gene type.1	Crab-Eating_Macaque_distance	Mouse_Lemur_BIP number	Mouse_Lemur_Gene stable ID	Mouse_Lemur_Chromosome/scaffold name	Mouse_Lemur_Gene start (bp)	Mouse_Lemur_Gene end (bp)	Mouse_Lemur_Strand	Mouse_Lemur_Gene description	Mouse_Lemur_Gene name	Mouse_Lemur_Gene type	Mouse_Lemur_Gene stable ID.1	Mouse_Lemur_Chromosome/scaffold name.1	Mouse_Lemur_Gene start (bp).1	Mouse_Lemur_Gene end (bp).1	Mouse_Lemur_Strand.1	Mouse_Lemur_Gene description.1	Mouse_Lemur_Gene name.1	Mouse_Lemur_Gene type.1	Mouse_Lemur_distance	Bonobo_BIP number	Bonobo_Gene stable ID	Bonobo_Chromosome/scaffold name	Bonobo_Gene start (bp)	Bonobo_Gene end (bp)	Bonobo_Strand	Bonobo_Gene description	Bonobo_Gene name	Bonobo_Gene type	Bonobo_Gene stable ID.1	Bonobo_Chromosome/scaffold name.1	Bonobo_Gene start (bp).1	Bonobo_Gene end (bp).1	Bonobo_Strand.1	Bonobo_Gene description.1	Bonobo_Gene name.1	Bonobo_Gene type.1	Bonobo_distance	Gorilla_BIP number	Gorilla_Gene stable ID	Gorilla_Chromosome/scaffold name	Gorilla_Gene start (bp)	Gorilla_Gene end (bp)	Gorilla_Strand	Gorilla_Gene description	Gorilla_Gene name	Gorilla_Gene type	Gorilla_Gene stable ID.1	Gorilla_Chromosome/scaffold name.1	Gorilla_Gene start (bp).1	Gorilla_Gene end (bp).1	Gorilla_Strand.1	Gorilla_Gene description.1	Gorilla_Gene name.1	Gorilla_Gene type.1	Gorilla_distance	Chimpanzee_BIP number	Chimpanzee_Gene stable ID	Chimpanzee_Chromosome/scaffold name	Chimpanzee_Gene start (bp)	Chimpanzee_Gene end (bp)	Chimpanzee_Strand	Chimpanzee_Gene description	Chimpanzee_Gene name	Chimpanzee_Gene type	Chimpanzee_Gene stable ID.1	Chimpanzee_Chromosome/scaffold name.1	Chimpanzee_Gene start (bp).1	Chimpanzee_Gene end (bp).1	Chimpanzee_Strand.1	Chimpanzee_Gene description.1	Chimpanzee_Gene name.1	Chimpanzee_Gene type.1	Chimpanzee_distance	Vervet-Agm_BIP number	Vervet-Agm_Gene stable ID	Vervet-Agm_Chromosome/scaffold name	Vervet-Agm_Gene start (bp)	Vervet-Agm_Gene end (bp)	Vervet-Agm_Strand	Vervet-Agm_Gene description	Vervet-Agm_Gene name	Vervet-Agm_Gene type	Vervet-Agm_Gene stable ID.1	Vervet-Agm_Chromosome/scaffold name.1	Vervet-Agm_Gene start (bp).1	Vervet-Agm_Gene end (bp).1	Vervet-Agm_Strand.1	Vervet-Agm_Gene description.1	Vervet-Agm_Gene name.1	Vervet-Agm_Gene type.1	Vervet-Agm_distance	Olive_Baboon_BIP number	Olive_Baboon_Gene stable ID	Olive_Baboon_Chromosome/scaffold name	Olive_Baboon_Gene start (bp)	Olive_Baboon_Gene end (bp)	Olive_Baboon_Strand	Olive_Baboon_Gene description	Olive_Baboon_Gene name	Olive_Baboon_Gene type	Olive_Baboon_Gene stable ID.1	Olive_Baboon_Chromosome/scaffold name.1	Olive_Baboon_Gene start (bp).1	Olive_Baboon_Gene end (bp).1	Olive_Baboon_Strand.1	Olive_Baboon_Gene description.1	Olive_Baboon_Gene name.1	Olive_Baboon_Gene type.1	Olive_Baboon_distance	Sumatran_Orangutan_BIP number	Sumatran_Orangutan_Gene stable ID	Sumatran_Orangutan_Chromosome/scaffold name	Sumatran_Orangutan_Gene start (bp)	Sumatran_Orangutan_Gene end (bp)	Sumatran_Orangutan_Strand	Sumatran_Orangutan_Gene description	Sumatran_Orangutan_Gene name	Sumatran_Orangutan_Gene type	Sumatran_Orangutan_Gene stable ID.1	Sumatran_Orangutan_Chromosome/scaffold name.1	Sumatran_Orangutan_Gene start (bp).1	Sumatran_Orangutan_Gene end (bp).1	Sumatran_Orangutan_Strand.1	Sumatran_Orangutan_Gene description.1	Sumatran_Orangutan_Gene name.1	Sumatran_Orangutan_Gene type.1	Sumatran_Orangutan_distance	Gibbon_BIP number	Gibbon_Gene stable ID	Gibbon_Chromosome/scaffold name	Gibbon_Gene start (bp)	Gibbon_Gene end (bp)	Gibbon_Strand	Gibbon_Gene description	Gibbon_Gene name	Gibbon_Gene type	Gibbon_Gene stable ID.1	Gibbon_Chromosome/scaffold name.1	Gibbon_Gene start (bp).1	Gibbon_Gene end (bp).1	Gibbon_Strand.1	Gibbon_Gene description.1	Gibbon_Gene name.1	Gibbon_Gene type.1	Gibbon_distance
3812	ENSG00000176386	9	113255835	113275572	-1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	CDC26	protein_coding	ENSG00000136875	9	113275642	113294009	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	PRPF4	protein_coding	70																			67	ENSMICG00000035931	10	76979936	76987842	-1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	CDC26	protein_coding	ENSMICG00000015022	10	76987887	77003762	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	PRPF4	protein_coding	45	1267	ENSPPAG00000035092	9	112736864	112745466	-1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	CDC26	protein_coding	ENSPPAG00000041797	9	112745455	112763725	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	PRPF4	protein_coding	11	1297	ENSGGOG00000009853	9	95823966	95832548	-1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	CDC26	protein_coding	ENSGGOG00000006943	9	95832535	95849801	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	PRPF4	protein_coding	13	1438	ENSPTRG00000021273	9	91223885	91232467	-1	cell division cycle 26 [Source:VGNC Symbol;Acc:VGNC:4655]	CDC26	protein_coding	ENSPTRG00000021274	9	91232522	91250724	1	pre-mRNA processing factor 4 [Source:VGNC Symbol;Acc:VGNC:4830]	PRPF4	protein_coding	55																			288	ENSPANG00000045281	13	82680336	82687181	-1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	CDC26	protein_coding	ENSPANG00000025776	13	82687353	82704034	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	PRPF4	protein_coding	172																			889	ENSNLEG00000016645	8	92156517	92165066	-1	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	CDC26	protein_coding	ENSNLEG00000016647	8	92164822	92183220	1	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	PRPF4	protein_coding	244
3819	ENSG00000119446	9	122237622	122264840	-1	RNA binding motif protein 18 [Source:HGNC Symbol;Acc:HGNC:28413]	RBM18	protein_coding	ENSG00000148187	9	122264603	122331337	1	mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234]	MRRF	protein_coding	237																			70	ENSMICG00000046793	10	84954543	84976767	-1	RNA binding motif protein 18 [Source:HGNC Symbol;Acc:HGNC:28413]	RBM18	protein_coding	ENSMICG00000016168	10	84976757	85030857	1	mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234]	MRRF	protein_coding	10																																																																																											1303	ENSPPYG00000033968	9	96093561	96118261	-1	RNA binding motif protein 18 [Source:NCBI gene (formerly Entrezgene);Acc:100173457]	RBM18	protein_coding	ENSPPYG00000019570	9	96117657	96181979	1			protein_coding	604																		
3839	ENSG00000175283	9	128945530	128947603	-1	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	DOLK	protein_coding	ENSG00000095319	9	128947699	129007096	1	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	NUP188	protein_coding	96																			80	ENSMICG00000005845	10	90872269	90873980	-1	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	DOLK	protein_coding	ENSMICG00000005848	10	90874250	90936567	1	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	NUP188	protein_coding	270	1279	ENSPPAG00000016072	9	128731747	128733363	-1	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	DOLK	protein_coding	ENSPPAG00000038013	9	128733780	128791252	1	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	NUP188	protein_coding	417																																																																									1316	ENSPPYG00000019669	9	102844103	102846185	-1	dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406]	DOLK	protein_coding	ENSPPYG00000019670	9	102846247	102902146	1	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	NUP188	protein_coding	62																		
15	ENSG00000116198	1	3812086	3857396	-1	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	CEP104	protein_coding	ENSG00000169598	1	3857267	3885429	1	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	DFFB	protein_coding	129																																					11	ENSPPAG00000028267	1	3606659	3648832	-1	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	CEP104	protein_coding	ENSPPAG00000011470	1	3649729	3676896	1	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	DFFB	protein_coding	897	10	ENSGGOG00000013439	1	3526230	3568285	-1	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	CEP104	protein_coding	ENSGGOG00000013452	1	3568341	3601637	1	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	DFFB	protein_coding	56	14	ENSPTRG00000000069	1	2967445	3010856	-1	centrosomal protein 104 [Source:VGNC Symbol;Acc:VGNC:491]	CEP104	protein_coding	ENSPTRG00000000070	1	3010890	3046502	1	DNA fragmentation factor subunit beta [Source:VGNC Symbol;Acc:VGNC:10600]	DFFB	protein_coding	34																																																																								
81	ENSG00000280670	1	45493866	45500079	-1	CCDC163 homolog [Source:HGNC Symbol;Acc:HGNC:27003]	CCDC163	protein_coding	ENSG00000132763	1	45500300	45513382	1	metabolism of cobalamin associated C [Source:HGNC Symbol;Acc:HGNC:24525]	MMACHC	protein_coding	221																																					58	ENSPPAG00000031207	1	46155933	46160409	-1	CCDC163 homolog [Source:HGNC Symbol;Acc:HGNC:27003]	CCDC163	protein_coding	ENSPPAG00000042689	1	46160364	46171662	1	metabolism of cobalamin associated C [Source:HGNC Symbol;Acc:HGNC:24525]	MMACHC	protein_coding	45																			62	ENSPTRG00000040424	1	45042521	45046709	-1	CCDC163 homolog [Source:VGNC Symbol;Acc:VGNC:99657]	CCDC163	protein_coding	ENSPTRG00000052080	1	45046919	45057999	1	metabolism of cobalamin associated C [Source:VGNC Symbol;Acc:VGNC:57611]	MMACHC	protein_coding	210																																																							147	ENSNLEG00000014518	12	14774606	14778052	-1			protein_coding	ENSNLEG00000014521	12	14778865	14786806	1	metabolism of cobalamin associated C [Source:HGNC Symbol;Acc:HGNC:24525]	MMACHC	protein_coding	813
99	ENSG00000174842	1	92246402	92298987	-1	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	GLMN	protein_coding	ENSG00000122484	1	92299059	92402056	1	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]	RPAP2	protein_coding	72																																					78	ENSPPAG00000039704	1	93646499	93701430	-1	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	GLMN	protein_coding	ENSPPAG00000035306	1	93701765	93790323	1	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]	RPAP2	protein_coding	335	73	ENSGGOG00000006658	1	93333358	93411435	-1	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	GLMN	protein_coding	ENSGGOG00000006674	1	93411397	93499110	1	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]	RPAP2	protein_coding	38	84	ENSPTRG00000000959	1	92749000	92801577	-1	glomulin, FKBP associated protein [Source:VGNC Symbol;Acc:VGNC:8326]	GLMN	protein_coding	ENSPTRG00000000960	1	92801537	92890752	1	RNA polymerase II associated protein 2 [Source:VGNC Symbol;Acc:VGNC:1499]	RPAP2	protein_coding	40																			56	ENSPANG00000024286	1	90889364	90947792	-1	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	GLMN	protein_coding	ENSPANG00000016897	1	90948317	91036663	1	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]	RPAP2	protein_coding	525																																				
209	ENSG00000116903	1	231332753	231337852	-1	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	EXOC8	protein_coding	ENSG00000010072	1	231337104	231355023	1	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	SPRTN	protein_coding	748																																					152	ENSPPAG00000008151	1	211911802	211913979	-1	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	EXOC8	protein_coding	ENSPPAG00000036767	1	211914082	211931093	1	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	SPRTN	protein_coding	103	152	ENSGGOG00000026842	1	211047599	211049776	-1	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	EXOC8	protein_coding	ENSGGOG00000003142	1	211049967	211066654	1	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	SPRTN	protein_coding	191	175	ENSPTRG00000002108	1	210347546	210349723	-1	exocyst complex component 8 [Source:VGNC Symbol;Acc:VGNC:10616]	EXOC8	protein_coding	ENSPTRG00000002109	1	210349914	210366905	1	SprT-like N-terminal domain [Source:VGNC Symbol;Acc:VGNC:99668]	SPRTN	protein_coding	191																			116	ENSPANG00000021580	1	200760482	200762659	-1	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	EXOC8	protein_coding	ENSPANG00000017798	1	200763304	200778831	1	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	SPRTN	protein_coding	645																																				
357	ENSG00000284482	10	110898090	110898155	1	microRNA 4680 [Source:HGNC Symbol;Acc:HGNC:41541]	MIR4680	miRNA	ENSG00000214413	10	110898730	110919201	-1	BBSome interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:28093]	BBIP1	protein_coding	575																																					191	ENSPPAG00000010704	10	110940484	110940549	1	microRNA 4680 [Source:HGNC Symbol;Acc:HGNC:41541]	MIR4680	miRNA	ENSPPAG00000030874	10	110941118	110961491	-1			protein_coding	569																																																																																																												
410	ENSG00000166452	11	8911139	8920084	1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	AKIP1	protein_coding	ENSG00000176029	11	8920076	8933006	-1	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	C11orf16	protein_coding	8																																					219	ENSPPAG00000034247	11	8781702	8790267	1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	AKIP1	protein_coding	ENSPPAG00000031147	11	8790628	8802446	-1	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	C11orf16	protein_coding	361	215	ENSGGOG00000013521	11	8762317	8771289	1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	AKIP1	protein_coding	ENSGGOG00000005118	11	8771286	8785448	-1	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	C11orf16	protein_coding	3																																					214	ENSPANG00000007044	12	68261673	68269751	1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	AKIP1	protein_coding	ENSPANG00000034837	12	68270391	68282208	-1	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	C11orf16	protein_coding	640																			346	ENSNLEG00000032259	15	70735683	70744114	1	A-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:1170]	AKIP1	protein_coding	ENSNLEG00000017547	15	70744111	70758033	-1	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	C11orf16	protein_coding	3
446	ENSG00000180423	11	46602861	46617909	-1	harbinger transposase derived 1 [Source:HGNC Symbol;Acc:HGNC:26522]	HARBI1	protein_coding	ENSG00000175224	11	46617527	46674818	1	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]	ATG13	protein_coding	382																																					229	ENSPPAG00000035636	11	47112973	47126380	-1	harbinger transposase derived 1 [Source:HGNC Symbol;Acc:HGNC:26522]	HARBI1	protein_coding	ENSPPAG00000042268	11	47126380	47182850	1	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]	ATG13	protein_coding	0	222	ENSGGOG00000004410	11	46889960	46904319	-1	harbinger transposase derived 1 [Source:HGNC Symbol;Acc:HGNC:26522]	HARBI1	protein_coding	ENSGGOG00000005689	11	46904002	46961504	1	autophagy related 13 [Source:HGNC Symbol;Acc:HGNC:29091]	ATG13	protein_coding	317	258	ENSPTRG00000003548	11	46827625	46841245	-1	harbinger transposase derived 1 [Source:VGNC Symbol;Acc:VGNC:1060]	HARBI1	protein_coding	ENSPTRG00000003549	11	46841645	46898868	1	autophagy related 13 [Source:VGNC Symbol;Acc:VGNC:3206]	ATG13	protein_coding	400																																																																								
490	ENSG00000173113	11	64316460	64317559	-1	tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	TRMT112	protein_coding	ENSG00000126432	11	64318121	64321811	1	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	PRDX5	protein_coding	562																																					251	ENSPPAG00000039858	11	63018695	63020086	-1	tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	TRMT112	protein_coding	ENSPPAG00000031356	11	63020097	63023624	1	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	PRDX5	protein_coding	11	242	ENSGGOG00000001334	11	63486364	63488159	-1	tRNA methyltransferase subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	TRMT112	protein_coding	ENSGGOG00000001337	11	63487768	63491551	1	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	PRDX5	protein_coding	391	283	ENSPTRG00000003834	11	64345252	64346644	-1	tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]	TRMT112	protein_coding	ENSPTRG00000003835	11	64346655	64350302	1	peroxiredoxin 5 [Source:VGNC Symbol;Acc:VGNC:1031]	PRDX5	protein_coding	11																																																																								
496	ENSG00000146670	11	65066300	65084164	-1	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	CDCA5	protein_coding	ENSG00000162300	11	65084210	65088398	1	zinc finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:12868]	ZFPL1	protein_coding	46																																					254	ENSPPAG00000027263	11	63772458	63779154	-1	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	CDCA5	protein_coding	ENSPPAG00000019581	11	63779161	63783404	1	zinc finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:12868]	ZFPL1	protein_coding	7	245	ENSGGOG00000026067	11	64266151	64272924	-1	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	CDCA5	protein_coding	ENSGGOG00000002697	11	64272850	64277452	1	zinc finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:12868]	ZFPL1	protein_coding	74	286	ENSPTRG00000003860	11	65111569	65118278	-1	cell division cycle associated 5 [Source:VGNC Symbol;Acc:VGNC:11291]	CDCA5	protein_coding	ENSPTRG00000003861	11	65118349	65122519	1	zinc finger protein like 1 [Source:VGNC Symbol;Acc:VGNC:7652]	ZFPL1	protein_coding	71																			242	ENSPANG00000015655	12	114500112	114504967	-1	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	CDCA5	protein_coding	ENSPANG00000006241	12	114505685	114509089	1	zinc finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:12868]	ZFPL1	protein_coding	718																			744	ENSNLEG00000005472	4	85534620	85541943	-1	cell division cycle associated 5 [Source:HGNC Symbol;Acc:HGNC:14626]	CDCA5	protein_coding	ENSNLEG00000005476	4	85541940	85546185	1	zinc finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:12868]	ZFPL1	protein_coding	3
753	ENSG00000075188	12	102073103	102120120	-1	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	NUP37	protein_coding	ENSG00000185480	12	102120183	102197520	1	PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]	PARPBP	protein_coding	63																																					359	ENSPPAG00000028253	12	103059232	103105066	-1	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	NUP37	protein_coding	ENSPPAG00000036992	12	103105117	103182366	1	PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]	PARPBP	protein_coding	51	356	ENSGGOG00000004148	12	101921410	101967296	-1	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	NUP37	protein_coding	ENSGGOG00000004290	12	101967342	102049450	1	PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]	PARPBP	protein_coding	46	406	ENSPTRG00000005359	12	104920964	104966815	-1	nucleoporin 37 [Source:VGNC Symbol;Acc:VGNC:5514]	NUP37	protein_coding	ENSPTRG00000005360	12	104966859	105044165	1	PARP1 binding protein [Source:VGNC Symbol;Acc:VGNC:5521]	PARPBP	protein_coding	44																																					356	ENSPPYG00000004879	12	100573693	100618455	-1	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	NUP37	protein_coding	ENSPPYG00000004880	12	100618514	100702627	1	PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]	PARPBP	protein_coding	59	71	ENSNLEG00000033812	10	75442547	75488115	-1	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	NUP37	protein_coding	ENSNLEG00000006377	10	75488891	75567224	1	PARP1 binding protein [Source:HGNC Symbol;Acc:HGNC:26074]	PARPBP	protein_coding	776
819	ENSG00000165480	13	21153595	21176552	-1	spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]	SKA3	protein_coding	ENSG00000173141	13	21176658	21179084	1	mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514]	MRPL57	protein_coding	106																																					382	ENSPPAG00000037665	13	20790516	20812554	-1	spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]	SKA3	protein_coding	ENSPPAG00000031962	13	20812874	20813182	1	mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514]	MRPL57	protein_coding	320	381	ENSGGOG00000014494	13	2709224	2741853	-1	spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]	SKA3	protein_coding	ENSGGOG00000014501	13	2742195	2742503	1	mitochondrial ribosomal protein L57 [Source:HGNC Symbol;Acc:HGNC:14514]	MRPL57	protein_coding	342	432	ENSPTRG00000005693	13	5750711	5772883	-1	spindle and kinetochore associated complex subunit 3 [Source:VGNC Symbol;Acc:VGNC:5108]	SKA3	protein_coding	ENSPTRG00000049719	13	5773203	5773511	1	mitochondrial ribosomal protein L57 [Source:VGNC Symbol;Acc:VGNC:13179]	MRPL57	protein_coding	320																																					381	ENSPPYG00000005199	13	2498462	2521094	-1	spindle and kinetochore associated complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:20262]	SKA3	protein_coding	ENSPPYG00000005200	13	2520121	2522046	1			protein_coding	973																		
841	ENSG00000120685	13	39009865	39038089	-1	proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	PROSER1	protein_coding	ENSG00000188811	13	39038306	39050109	1	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	NHLRC3	protein_coding	217																																					387	ENSPPAG00000041489	13	38810203	38838322	-1	proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	PROSER1	protein_coding	ENSPPAG00000035417	13	38838524	38850328	1	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	NHLRC3	protein_coding	202																			435	ENSPTRG00000005802	13	23832513	23861571	-1	proline and serine rich 1 [Source:VGNC Symbol;Acc:VGNC:5097]	PROSER1	protein_coding	ENSPTRG00000048931	13	23861772	23873584	1	NHL repeat containing 3 [Source:VGNC Symbol;Acc:VGNC:5086]	NHLRC3	protein_coding	201	616	ENSCSAG00000017848	3	17397765	17426839	-1	proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	PROSER1	protein_coding	ENSCSAG00000017845	3	17427122	17438506	1	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	NHLRC3	protein_coding	283																			389	ENSPPYG00000005298	13	21801656	21828867	-1	proline and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:20291]	PROSER1	protein_coding	ENSPPYG00000005299	13	21829200	21841206	1	NHL repeat containing 3 [Source:NCBI gene (formerly Entrezgene);Acc:100190831]	NHLRC3	protein_coding	333																		
1229	ENSG00000284395	16	1431078	1434441	1	proline and glutamate rich with coiled coil 1 [Source:HGNC Symbol;Acc:HGNC:52293]	PERCC1	protein_coding	ENSG00000197599	16	1434383	1444556	-1	coiled-coil domain containing 154 [Source:HGNC Symbol;Acc:HGNC:34454]	CCDC154	protein_coding	58																																					504	ENSPPAG00000011265	16	1486971	1487759	1	proline and glutamate rich with coiled coil 1 [Source:HGNC Symbol;Acc:HGNC:52293]	PERCC1	protein_coding	ENSPPAG00000039800	16	1488750	1498293	-1	coiled-coil domain containing 154 [Source:HGNC Symbol;Acc:HGNC:34454]	CCDC154	protein_coding	991	506	ENSGGOG00000014929	16	1468820	1469611	1	proline and glutamate rich with coiled coil 1 [Source:HGNC Symbol;Acc:HGNC:52293]	PERCC1	protein_coding	ENSGGOG00000014932	16	1470547	1480781	-1	coiled-coil domain containing 154 [Source:HGNC Symbol;Acc:HGNC:34454]	CCDC154	protein_coding	936	571	ENSPTRG00000052156	16	1612661	1613452	1	proline and glutamate rich with coiled coil 1 [Source:HGNC Symbol;Acc:HGNC:52293]	PERCC1	protein_coding	ENSPTRG00000023886	16	1614440	1624794	-1	coiled-coil domain containing 154 [Source:VGNC Symbol;Acc:VGNC:13675]	CCDC154	protein_coding	988																																																																								
