Cow_BIP number	Cow_Gene stable ID	Cow_Chromosome/scaffold name	Cow_Gene start (bp)	Cow_Gene end (bp)	Cow_Strand	Cow_Gene description	Cow_Gene name	Cow_Gene type	Cow_Gene stable ID.1	Cow_Chromosome/scaffold name.1	Cow_Gene start (bp).1	Cow_Gene end (bp).1	Cow_Strand.1	Cow_Gene description.1	Cow_Gene name.1	Cow_Gene type.1	Cow_distance	Domestic_Yak__BIP number	Domestic_Yak__Gene stable ID	Domestic_Yak__Chromosome/scaffold name	Domestic_Yak__Gene start (bp)	Domestic_Yak__Gene end (bp)	Domestic_Yak__Strand	Domestic_Yak__Gene description	Domestic_Yak__Gene name	Domestic_Yak__Gene type	Domestic_Yak__Gene stable ID.1	Domestic_Yak__Chromosome/scaffold name.1	Domestic_Yak__Gene start (bp).1	Domestic_Yak__Gene end (bp).1	Domestic_Yak__Strand.1	Domestic_Yak__Gene description.1	Domestic_Yak__Gene name.1	Domestic_Yak__Gene type.1	Domestic_Yak__distance	Goat_BIP number	Goat_Gene stable ID	Goat_Chromosome/scaffold name	Goat_Gene start (bp)	Goat_Gene end (bp)	Goat_Strand	Goat_Gene description	Goat_Gene name	Goat_Gene type	Goat_Gene stable ID.1	Goat_Chromosome/scaffold name.1	Goat_Gene start (bp).1	Goat_Gene end (bp).1	Goat_Strand.1	Goat_Gene description.1	Goat_Gene name.1	Goat_Gene type.1	Goat_distance	Sperm_Whale_BIP number	Sperm_Whale_Gene stable ID	Sperm_Whale_Chromosome/scaffold name	Sperm_Whale_Gene start (bp)	Sperm_Whale_Gene end (bp)	Sperm_Whale_Strand	Sperm_Whale_Gene description	Sperm_Whale_Gene name	Sperm_Whale_Gene type	Sperm_Whale_Gene stable ID.1	Sperm_Whale_Chromosome/scaffold name.1	Sperm_Whale_Gene start (bp).1	Sperm_Whale_Gene end (bp).1	Sperm_Whale_Strand.1	Sperm_Whale_Gene description.1	Sperm_Whale_Gene name.1	Sperm_Whale_Gene type.1	Sperm_Whale_distance	Vaquita_BIP number	Vaquita_Gene stable ID	Vaquita_Chromosome/scaffold name	Vaquita_Gene start (bp)	Vaquita_Gene end (bp)	Vaquita_Strand	Vaquita_Gene description	Vaquita_Gene name	Vaquita_Gene type	Vaquita_Gene stable ID.1	Vaquita_Chromosome/scaffold name.1	Vaquita_Gene start (bp).1	Vaquita_Gene end (bp).1	Vaquita_Strand.1	Vaquita_Gene description.1	Vaquita_Gene name.1	Vaquita_Gene type.1	Vaquita_distance	Sheep_BIP number	Sheep_Gene stable ID	Sheep_Chromosome/scaffold name	Sheep_Gene start (bp)	Sheep_Gene end (bp)	Sheep_Strand	Sheep_Gene description	Sheep_Gene name	Sheep_Gene type	Sheep_Gene stable ID.1	Sheep_Chromosome/scaffold name.1	Sheep_Gene start (bp).1	Sheep_Gene end (bp).1	Sheep_Strand.1	Sheep_Gene description.1	Sheep_Gene name.1	Sheep_Gene type.1	Sheep_distance	Yarkand_Deer_BIP number	Yarkand_Deer_Gene stable ID	Yarkand_Deer_Chromosome/scaffold name	Yarkand_Deer_Gene start (bp)	Yarkand_Deer_Gene end (bp)	Yarkand_Deer_Strand	Yarkand_Deer_Gene description	Yarkand_Deer_Gene name	Yarkand_Deer_Gene type	Yarkand_Deer_Gene stable ID.1	Yarkand_Deer_Chromosome/scaffold name.1	Yarkand_Deer_Gene start (bp).1	Yarkand_Deer_Gene end (bp).1	Yarkand_Deer_Strand.1	Yarkand_Deer_Gene description.1	Yarkand_Deer_Gene name.1	Yarkand_Deer_Gene type.1	Yarkand_Deer_distance	Blue_Whale_BIP number	Blue_Whale_Gene stable ID	Blue_Whale_Chromosome/scaffold name	Blue_Whale_Gene start (bp)	Blue_Whale_Gene end (bp)	Blue_Whale_Strand	Blue_Whale_Gene description	Blue_Whale_Gene name	Blue_Whale_Gene type	Blue_Whale_Gene stable ID.1	Blue_Whale_Chromosome/scaffold name.1	Blue_Whale_Gene start (bp).1	Blue_Whale_Gene end (bp).1	Blue_Whale_Strand.1	Blue_Whale_Gene description.1	Blue_Whale_Gene name.1	Blue_Whale_Gene type.1	Blue_Whale_distance
1157	ENSBTAG00000019911	19	42827055	42828164	-1	cytochrome c oxidase assembly factor 3 [Source:VGNC Symbol;Acc:VGNC:27543]	COA3	protein_coding	ENSBTAG00000019912	19	42828310	42837827	1	cyclin N-terminal domain containing 1 [Source:VGNC Symbol;Acc:VGNC:27533]	CNTD1	protein_coding	146																																					570	ENSPCTG00005011150	14	117150848	117151520	-1	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	COA3	protein_coding	ENSPCTG00005011189	14	117151901	117159582	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	381																																					809	ENSCHYG00000012350	5	109876664	109877322	-1	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	COA3	protein_coding	ENSCHYG00000012384	5	109877698	109885881	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	376	847	ENSBMSG00010020173	20	21367675	21368875	-1	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	COA3	protein_coding	ENSBMSG00010020189	20	21369027	21377741	1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]	CNTD1	protein_coding	152
1236	ENSBTAG00000006089	19	58083969	58095091	-1	mitochondrial nucleoid associated protein 1 [Source:VGNC Symbol;Acc:VGNC:52660]	MTNAP1	protein_coding	ENSBTAG00000006088	19	58095731	58115440	1	VCP nuclear cofactor family member 1 [Source:VGNC Symbol;Acc:VGNC:55827]	VCF1	protein_coding	640																																					583	ENSPCTG00005007841	14	127848510	127861054	-1	chromosome 17 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:29601]	C14H17orf80	protein_coding	ENSPCTG00005007866	14	127861193	127885465	1	family with sequence similarity 104 member A [Source:HGNC Symbol;Acc:HGNC:25918]	FAM104A	protein_coding	139	1140	ENSPSNG00000021795	20	53371851	53385855	-1	chromosome 20 C17orf80 homolog [Source:NCBI gene (formerly Entrezgene);Acc:116746435]	C17orf80	protein_coding	ENSPSNG00000021820	20	53386231	53402751	1	family with sequence similarity 104 member A [Source:NCBI gene (formerly Entrezgene);Acc:116746436]	VCF1	protein_coding	376																			847	ENSCHYG00000004074	5	123997040	124009335	-1	chromosome 17 open reading frame 80 [Source:HGNC Symbol;Acc:HGNC:29601]	C17orf80	protein_coding	ENSCHYG00000004095	5	124009350	124024882	1	family with sequence similarity 104 member A [Source:HGNC Symbol;Acc:HGNC:25918]	VCF1	protein_coding	15																		
1298	ENSBTAG00000003813	2	106619142	106623100	1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:VGNC Symbol;Acc:VGNC:26456]	BCS1L	protein_coding	ENSBTAG00000003817	2	106623569	106632828	-1	ring finger protein 25 [Source:VGNC Symbol;Acc:VGNC:34060]	RNF25	protein_coding	469																																					74	ENSPCTG00005018671	2	120169920	120173862	1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	BCS1L	protein_coding	ENSPCTG00005018698	2	120174362	120181219	-1	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	RNF25	protein_coding	500																																																							1186	ENSBMSG00010004770	7	94431435	94435292	1	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	BCS1L	protein_coding	ENSBMSG00010004780	7	94435745	94442194	-1	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	RNF25	protein_coding	453
1623	ENSBTAG00000015781	3	43120392	43140707	-1	tRNA methyltransferase 13 homolog [Source:VGNC Symbol;Acc:VGNC:36370]	TRMT13	protein_coding	ENSBTAG00000015778	3	43140507	43181017	1	SAS-6 centriolar assembly protein [Source:VGNC Symbol;Acc:VGNC:34295]	SASS6	protein_coding	200																																					157	ENSPCTG00005001537	4	95579713	95605149	-1	tRNA methyltransferase 13 homolog [Source:HGNC Symbol;Acc:HGNC:25502]	TRMT13	protein_coding	ENSPCTG00005001562	4	95604997	95670406	1	SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]	SASS6	protein_coding	152																																					502	ENSCHYG00000013026	20	37821027	37839013	-1	tRNA methyltransferase 13 homolog [Source:HGNC Symbol;Acc:HGNC:25502]	TRMT13	protein_coding	ENSCHYG00000013179	20	37839034	37876637	1	SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403]	SASS6	protein_coding	21																		
1633	ENSBTAG00000018739	3	51008763	51122203	-1	RNA polymerase II associated protein 2 [Source:VGNC Symbol;Acc:VGNC:34099]	RPAP2	protein_coding	ENSBTAG00000018737	3	51123185	51167321	1	glomulin, FKBP associated protein [Source:VGNC Symbol;Acc:VGNC:29408]	GLMN	protein_coding	982																																					159	ENSPCTG00005003192	4	102715370	102810384	-1	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]	RPAP2	protein_coding	ENSPCTG00005003228	4	102809418	102860949	1	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	GLMN	protein_coding	966																																																																								
1656	ENSBTAG00000019198	3	92241257	92262228	-1	leucine rich repeat containing 42 [Source:VGNC Symbol;Acc:VGNC:31016]	LRRC42	protein_coding	ENSBTAG00000007112	3	92262391	92296401	1	intraflagellar transport 25 [Source:VGNC Symbol;Acc:VGNC:55237]	IFT25	protein_coding	163																																					166	ENSPCTG00005022805	4	138957524	138976428	-1	leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]	LRRC42	protein_coding	ENSPCTG00005022807	4	138977030	139014421	1	heat shock protein family B (small) member 11 [Source:HGNC Symbol;Acc:HGNC:25019]	HSPB11	protein_coding	602																																																																								
1665	ENSBTAG00000009603	3	99789997	99799321	-1	ubiquinol-cytochrome c reductase hinge protein [Source:VGNC Symbol;Acc:VGNC:112486]	UQCRH	protein_coding	ENSBTAG00000045664	3	99799405	99817768	1	leucine rich repeat containing 41 [Source:VGNC Symbol;Acc:VGNC:112684]	LRRC41	protein_coding	84																																					169	ENSPCTG00005017654	4	145801298	145808751	-1			protein_coding	ENSPCTG00005017698	4	145808886	145827522	1	leucine rich repeat containing 41 [Source:HGNC Symbol;Acc:HGNC:16917]	LRRC41	protein_coding	135																																																																								
2004	ENSBTAG00000015602	7	1417994	1435525	1	MRN complex interacting protein [Source:VGNC Symbol;Acc:VGNC:52861]	MRNIP	protein_coding	ENSBTAG00000015591	7	1435182	1446957	-1	sequestosome 1 [Source:VGNC Symbol;Acc:VGNC:35265]	SQSTM1	protein_coding	343																																					34	ENSPCTG00005001159	2	9822131	9841021	1	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	MRNIP	protein_coding	ENSPCTG00005001251	2	9841186	9855128	-1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	SQSTM1	protein_coding	165																																					954	ENSCHYG00000024479	9	1126425	1143538	1	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	MRNIP	protein_coding	ENSCHYG00000024608	9	1144104	1154392	-1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	SQSTM1	protein_coding	566	976	ENSBMSG00010008305	3	153004688	153022652	1	MRN complex interacting protein [Source:HGNC Symbol;Acc:HGNC:30817]	MRNIP	protein_coding	ENSBMSG00010008322	3	153022663	153034910	-1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	SQSTM1	protein_coding	11
219	ENSBTAG00000008133	10	88814161	88846507	-1	alkB homolog 1, histone H2A dioxygenase [Source:VGNC Symbol;Acc:VGNC:55101]	ALKBH1	protein_coding	ENSBTAG00000008135	10	88846593	88855885	1	SRA stem-loop interacting RNA binding protein [Source:VGNC Symbol;Acc:VGNC:55144]	SLIRP	protein_coding	86																																																							990	ENSPSNG00000016553	2	152911704	152942213	-1	alkB homolog 1, histone H2A dioxygenase [Source:NCBI gene (formerly Entrezgene);Acc:116749418]	ALKBH1	protein_coding	ENSPSNG00000016615	2	152942288	152953644	1	SRA stem-loop interacting RNA binding protein [Source:NCBI gene (formerly Entrezgene);Acc:116749368]	SLIRP	protein_coding	75																																					792	ENSBMSG00010008274	2	150981994	151012433	-1	alkB homolog 1, histone H2A dioxygenase [Source:HGNC Symbol;Acc:HGNC:17911]	ALKBH1	protein_coding	ENSBMSG00010008287	2	151012490	151021591	1	SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495]	SLIRP	protein_coding	57
551	ENSBTAG00000005893	14	23027993	23070071	-1	transmembrane protein 68 [Source:VGNC Symbol;Acc:VGNC:36107]	TMEM68	protein_coding	ENSBTAG00000005898	14	23070145	23095949	1	trimethylguanosine synthase 1 [Source:VGNC Symbol;Acc:VGNC:35815]	TGS1	protein_coding	74																																																							716	ENSPSNG00000011792	17	4471577	4506147	-1	transmembrane protein 68 [Source:NCBI gene (formerly Entrezgene);Acc:116742511]	TMEM68	protein_coding	ENSPSNG00000011959	17	4506204	4541747	1	trimethylguanosine synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:116742497]	TGS1	protein_coding	57																			549	ENSCHYG00000023790	21	21700654	21735040	-1	transmembrane protein 68 [Source:HGNC Symbol;Acc:HGNC:26510]	TMEM68	protein_coding	ENSCHYG00000023932	21	21735044	21759600	1	trimethylguanosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:17843]	TGS1	protein_coding	4																		
715	ENSBTAG00000021671	16	37440402	37442731	-1	methyltransferase 18, RPL3 N3(tau)-histidine [Source:VGNC Symbol;Acc:VGNC:31405]	METTL18	protein_coding	ENSBTAG00000014793	16	37442660	37494121	1	FIGNL1 interacting regulator of recombination and mitosis [Source:VGNC Symbol;Acc:VGNC:52639]	FIRRM	protein_coding	71																																																							143	ENSPSNG00000012677	1	126858343	126861126	-1	methyltransferase like 18 [Source:NCBI gene (formerly Entrezgene);Acc:116749171]	METTL18	protein_coding	ENSPSNG00000012703	1	126861163	126906717	1	chromosome 1 C1orf112 homolog [Source:NCBI gene (formerly Entrezgene);Acc:116749132]	FIRRM	protein_coding	37																			273	ENSCHYG00000015908	14	34057312	34058433	-1	methyltransferase like 18 [Source:HGNC Symbol;Acc:HGNC:28793]	METTL18	protein_coding	ENSCHYG00000016144	14	34058955	34109077	1	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	FIRRM	protein_coding	522	111	ENSBMSG00010009612	1	126010301	126012798	-1	methyltransferase like 18 [Source:HGNC Symbol;Acc:HGNC:28793]	METTL18	protein_coding	ENSBMSG00010009621	1	126012833	126057300	1	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	FIRRM	protein_coding	35
777	ENSBTAG00000019854	17	13156554	13187394	-1	ATP binding cassette subfamily E member 1 [Source:VGNC Symbol;Acc:VGNC:25479]	ABCE1	protein_coding	ENSBTAG00000013326	17	13187173	13350328	1	anaphase promoting complex subunit 10 [Source:VGNC Symbol;Acc:VGNC:25880]	ANAPC10	protein_coding	221																																																							1383	ENSPSNG00000014453	5	115093269	115131813	-1	ATP binding cassette subfamily E member 1 [Source:NCBI gene (formerly Entrezgene);Acc:116754247]	ABCE1	protein_coding	ENSPSNG00000014531	5	115131207	115208317	1	anaphase promoting complex subunit 10 [Source:NCBI gene (formerly Entrezgene);Acc:116754248]	ANAPC10	protein_coding	606																																																						
902	ENSBTAG00000001854	18	25431301	25444206	-1	cytokine induced apoptosis inhibitor 1 [Source:VGNC Symbol;Acc:VGNC:27357]	CIAPIN1	protein_coding	ENSBTAG00000001855	18	25444079	25456211	1	coenzyme Q9 [Source:VGNC Symbol;Acc:VGNC:27618]	COQ9	protein_coding	127																																																							843	ENSPSNG00000021155	19	31605261	31619643	-1	cytokine induced apoptosis inhibitor 1 [Source:NCBI gene (formerly Entrezgene);Acc:116744676]	CIAPIN1	protein_coding	ENSPSNG00000021226	19	31619541	31634904	1	coenzyme Q9 [Source:NCBI gene (formerly Entrezgene);Acc:116744675]	COQ9	protein_coding	102																																					676	ENSBMSG00010019286	19	32837732	32852065	-1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	CIAPIN1	protein_coding	ENSBMSG00010019327	19	32852091	32865311	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	COQ9	protein_coding	26
1028	ENSBTAG00000007757	18	63260500	63271920	-1	pre-mRNA processing factor 31 [Source:VGNC Symbol;Acc:VGNC:33374]	PRPF31	protein_coding	ENSBTAG00000007756	18	63271873	63280483	1	TCF3 fusion partner [Source:VGNC Symbol;Acc:VGNC:35795]	TFPT	protein_coding	47																																																							777	ENSPSNG00000014461	19	3662956	3679410	-1	pre-mRNA processing factor 31 [Source:NCBI gene (formerly Entrezgene);Acc:116743787]	PRPF31	protein_coding	ENSPSNG00000014577	19	3679563	3686082	1	TCF3 fusion partner [Source:NCBI gene (formerly Entrezgene);Acc:116743844]	TFPT	protein_coding	153																																					616	ENSBMSG00010018719	19	4185532	4202432	-1	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	PRPF31	protein_coding	ENSBMSG00010018776	19	4202494	4210111	1	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	TFPT	protein_coding	62
1162	ENSBTAG00000022520	19	43069155	43140130	-1	BRCA1 DNA repair associated [Source:VGNC Symbol;Acc:VGNC:55781]	BRCA1	protein_coding	ENSBTAG00000001632	19	43140344	43167810	1	NBR1 autophagy cargo receptor [Source:VGNC Symbol;Acc:VGNC:31896]	NBR1	protein_coding	214																																																							1089	ENSPSNG00000014034	20	39991410	40053580	-1	BRCA1 DNA repair associated [Source:NCBI gene (formerly Entrezgene);Acc:116745065]	BRCA1	protein_coding	ENSPSNG00000014260	20	40053749	40080811	1	NBR1 autophagy cargo receptor [Source:NCBI gene (formerly Entrezgene);Acc:116745067]	NBR1	protein_coding	169																																					850	ENSBMSG00010013927	20	21556863	21618172	-1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	BRCA1	protein_coding	ENSBMSG00010014195	20	21619118	21645394	1	NBR1 autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]	NBR1	protein_coding	946
1395	ENSBTAG00000019211	20	39218959	39227844	-1	biosis of ribosomes BRX1 [Source:VGNC Symbol;Acc:VGNC:26569]	BRIX1	protein_coding	ENSBTAG00000019209	20	39227867	39236701	1	RAD1 checkpoint DNA exonuclease [Source:VGNC Symbol;Acc:VGNC:33677]	RAD1	protein_coding	23																																																							1293	ENSPSNG00000005692	3	145139782	145148180	-1	biogenesis of ribosomes BRX1 [Source:NCBI gene (formerly Entrezgene);Acc:116752111]	BRIX1	protein_coding	ENSPSNG00000005726	3	145148289	145156555	1	RAD1 checkpoint DNA exonuclease [Source:NCBI gene (formerly Entrezgene);Acc:116752260]	RAD1	protein_coding	109																																																						
1713	ENSBTAG00000013168	4	15692491	15695690	-1	replication protein A3 [Source:VGNC Symbol;Acc:VGNC:34096]	RPA3	protein_coding	ENSBTAG00000047004	4	15695975	15991557	1	UBAP1-MVB12-associated (UMA) domain containing 1 [Source:VGNC Symbol;Acc:VGNC:107233]	UMAD1	protein_coding	285																																																							1652	ENSPSNG00000006394	9	61839946	61843131	-1	replication protein A3 [Source:NCBI gene (formerly Entrezgene);Acc:116759187]	RPA3	protein_coding	ENSPSNG00000006522	9	61843287	62210295	1	UBAP1-MVB12-associated (UMA) domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:116759186]	UMAD1	protein_coding	156																			354	ENSCHYG00000005704	18	14260877	14264094	-1	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	RPA3	protein_coding	ENSCHYG00000005763	18	14264097	14546509	1			protein_coding	3	1315	ENSBMSG00010010396	9	62580608	62583820	-1	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	RPA3	protein_coding	ENSBMSG00010010406	9	62584103	62820928	1	UBAP1-MVB12-associated (UMA) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:48955]	UMAD1	protein_coding	283
1860	ENSBTAG00000026624	5	84792354	84799244	-1	electron transfer flavoprotein regulatory factor 1 [Source:VGNC Symbol;Acc:VGNC:28622]	ETFRF1	protein_coding	ENSBTAG00000002972	5	84799472	84887228	1	dynein axonemal intermediate chain 7 [Source:VGNC Symbol;Acc:VGNC:99768]	DNAI7	protein_coding	228																																																							236	ENSPSNG00000007433	10	82729840	82736686	-1	electron transfer flavoprotein regulatory factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:116760327]	ETFRF1	protein_coding	ENSPSNG00000007486	10	82736812	82812539	1	cancer susceptibility 1 [Source:NCBI gene (formerly Entrezgene);Acc:116760036]	DNAI7	protein_coding	126																																																						
1944	ENSBTAG00000013927	6	19301432	19453018	-1	glutathione S-transferase C-terminal domain containing [Source:VGNC Symbol;Acc:VGNC:29684]	GSTCD	protein_coding	ENSBTAG00000033648	6	19452815	19477589	1	integrator complex subunit 12 [Source:VGNC Symbol;Acc:VGNC:30225]	INTS12	protein_coding	203																																																							1368	ENSPSNG00000006855	5	34013761	34148085	-1	glutathione S-transferase C-terminal domain containing [Source:NCBI gene (formerly Entrezgene);Acc:116754739]	GSTCD	protein_coding	ENSPSNG00000006928	5	34148193	34177566	1	integrator complex subunit 12 [Source:NCBI gene (formerly Entrezgene);Acc:116754555]	INTS12	protein_coding	108																																																						
2026	ENSBTAG00000005289	7	6479012	6498287	1	calcium homeostasis endoplasmic reticulum protein [Source:VGNC Symbol;Acc:VGNC:27287]	CHERP	protein_coding	ENSBTAG00000002447	7	6497765	6520929	-1	chromosome 7 C19orf44 homolog [Source:VGNC Symbol;Acc:VGNC:55200]	C7H19orf44	protein_coding	522																																																							1225	ENSPSNG00000001401	3	13127786	13149341	1	calcium homeostasis endoplasmic reticulum protein [Source:NCBI gene (formerly Entrezgene);Acc:116750778]	CHERP	protein_coding	ENSPSNG00000001424	3	13148767	13172105	-1	chromosome 3 C19orf44 homolog [Source:NCBI gene (formerly Entrezgene);Acc:116750779]	C19orf44	protein_coding	574																			964	ENSCHYG00000002017	9	6047575	6066628	1	calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]	CHERP	protein_coding	ENSCHYG00000002039	9	6067343	6089591	-1	chromosome 19 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:26141]	C19orf44	protein_coding	715																		
161	ENSBTAG00000031981	10	37869708	37875308	-1	leucine rich repeat containing 57 [Source:VGNC Symbol;Acc:VGNC:55121]	LRRC57	protein_coding	ENSBTAG00000005663	10	37874970	37888393	1	HAUS augmin like complex subunit 2 [Source:VGNC Symbol;Acc:VGNC:29758]	HAUS2	protein_coding	338																																																																																											220	ENSCHYG00000018114	12	33514675	33525012	-1	leucine rich repeat containing 57 [Source:HGNC Symbol;Acc:HGNC:26719]	LRRC57	protein_coding	ENSCHYG00000018259	12	33525072	33537085	1	HAUS augmin like complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25530]	HAUS2	protein_coding	60																		
895	ENSBTAG00000002493	18	14984970	15012555	-1	VPS35 retromer complex component [Source:VGNC Symbol;Acc:VGNC:36818]	VPS35	protein_coding	ENSBTAG00000001872	18	15013053	15021378	1	origin recognition complex subunit 6 [Source:VGNC Symbol;Acc:VGNC:32451]	ORC6	protein_coding	498																																																																																											631	ENSCHYG00000001622	4	13946777	13977097	-1	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]	VPS35	protein_coding	ENSCHYG00000001691	4	13977648	13985905	1	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	ORC6	protein_coding	551	671	ENSBMSG00010018847	19	23537659	23571320	-1	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]	VPS35	protein_coding	ENSBMSG00010018899	19	23571775	23579412	1	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	ORC6	protein_coding	455
1237	ENSBTAG00000006088	19	58095731	58115440	1	VCP nuclear cofactor family member 1 [Source:VGNC Symbol;Acc:VGNC:55827]	VCF1	protein_coding	ENSBTAG00000006087	19	58114491	58127729	-1	component of oligomeric golgi complex 1 [Source:VGNC Symbol;Acc:VGNC:27546]	COG1	protein_coding	949																																																																																											848	ENSCHYG00000004095	5	124009350	124024882	1	family with sequence similarity 104 member A [Source:HGNC Symbol;Acc:HGNC:25918]	VCF1	protein_coding	ENSCHYG00000004119	5	124025819	124038416	-1	component of oligomeric golgi complex 1 [Source:HGNC Symbol;Acc:HGNC:6545]	COG1	protein_coding	937																		
1575	ENSBTAG00000003535	3	15462231	15462806	1	dolichyl-phosphate mannosyltransferase subunit 3, regulatory [Source:VGNC Symbol;Acc:VGNC:28185]	DPM3	protein_coding	ENSBTAG00000003083	3	15462428	15465987	-1	solute carrier family 50 member 1 [Source:VGNC Symbol;Acc:VGNC:34899]	SLC50A1	protein_coding	378																																																																																											479	ENSCHYG00000006565	20	12064559	12064837	1	dolichyl-phosphate mannosyltransferase subunit 3, regulatory [Source:HGNC Symbol;Acc:HGNC:3007]	DPM3	protein_coding	ENSCHYG00000006585	20	12065317	12067662	-1	solute carrier family 50 member 1 [Source:HGNC Symbol;Acc:HGNC:30657]	SLC50A1	protein_coding	480																		
1845	ENSBTAG00000021660	5	62757513	62781790	-1	IKBKB interacting protein [Source:VGNC Symbol;Acc:VGNC:56209]	IKBIP	protein_coding	ENSBTAG00000021661	5	62782239	62869061	1	apoptotic peptidase activating factor 1 [Source:VGNC Symbol;Acc:VGNC:25999]	APAF1	protein_coding	449																																																																																											558	ENSCHYG00000019783	22	3863209	3885263	-1	IKBKB interacting protein [Source:HGNC Symbol;Acc:HGNC:26430]	IKBIP	protein_coding	ENSCHYG00000019906	22	3885575	3967569	1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	APAF1	protein_coding	312	179	ENSBMSG00010009856	10	81784559	81796563	-1	IKBKB interacting protein [Source:HGNC Symbol;Acc:HGNC:26430]	IKBIP	protein_coding	ENSBMSG00010009889	10	81797089	81887680	1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	APAF1	protein_coding	526
2221	ENSBTAG00000004991	8	98473957	98536545	-1	elongator acetyltransferase complex subunit 1 [Source:VGNC Symbol;Acc:VGNC:28454]	ELP1	protein_coding	ENSBTAG00000004996	8	98536727	98543210	1	actin binding transcription modulator [Source:VGNC Symbol;Acc:VGNC:28781]	ABITRAM	protein_coding	182																																																																																											342	ENSCHYG00000005409	16	29816724	29877537	-1	elongator complex protein 1 [Source:HGNC Symbol;Acc:HGNC:5959]	ELP1	protein_coding	ENSCHYG00000005521	16	29877545	29883587	1	actin binding transcription modulator [Source:HGNC Symbol;Acc:HGNC:1364]	ABITRAM	protein_coding	8																		
