Chicken_BIP number,Chicken_Gene stable ID,Chicken_Chromosome/scaffold name,Chicken_Gene start (bp),Chicken_Gene end (bp),Chicken_Strand,Chicken_Gene description,Chicken_Gene name,Chicken_Gene type,Chicken_Gene stable ID.1,Chicken_Chromosome/scaffold name.1,Chicken_Gene start (bp).1,Chicken_Gene end (bp).1,Chicken_Strand.1,Chicken_Gene description.1,Chicken_Gene name.1,Chicken_Gene type.1,Chicken_distance,Great_Tit_BIP number,Great_Tit_Gene stable ID,Great_Tit_Chromosome/scaffold name,Great_Tit_Gene start (bp),Great_Tit_Gene end (bp),Great_Tit_Strand,Great_Tit_Gene description,Great_Tit_Gene name,Great_Tit_Gene type,Great_Tit_Gene stable ID.1,Great_Tit_Chromosome/scaffold name.1,Great_Tit_Gene start (bp).1,Great_Tit_Gene end (bp).1,Great_Tit_Strand.1,Great_Tit_Gene description.1,Great_Tit_Gene name.1,Great_Tit_Gene type.1,Great_Tit_distance,Zebra_Finch_BIP number,Zebra_Finch_Gene stable ID,Zebra_Finch_Chromosome/scaffold name,Zebra_Finch_Gene start (bp),Zebra_Finch_Gene end (bp),Zebra_Finch_Strand,Zebra_Finch_Gene description,Zebra_Finch_Gene name,Zebra_Finch_Gene type,Zebra_Finch_Gene stable ID.1,Zebra_Finch_Chromosome/scaffold name.1,Zebra_Finch_Gene start (bp).1,Zebra_Finch_Gene end (bp).1,Zebra_Finch_Strand.1,Zebra_Finch_Gene description.1,Zebra_Finch_Gene name.1,Zebra_Finch_Gene type.1,Zebra_Finch_distance,Duck_BIP number,Duck_Gene stable ID,Duck_Chromosome/scaffold name,Duck_Gene start (bp),Duck_Gene end (bp),Duck_Strand,Duck_Gene description,Duck_Gene name,Duck_Gene type,Duck_Gene stable ID.1,Duck_Chromosome/scaffold name.1,Duck_Gene start (bp).1,Duck_Gene end (bp).1,Duck_Strand.1,Duck_Gene description.1,Duck_Gene name.1,Duck_Gene type.1,Duck_distance,Turkey_BIP number,Turkey_Gene stable ID,Turkey_Chromosome/scaffold name,Turkey_Gene start (bp),Turkey_Gene end (bp),Turkey_Strand,Turkey_Gene description,Turkey_Gene name,Turkey_Gene type,Turkey_Gene stable ID.1,Turkey_Chromosome/scaffold name.1,Turkey_Gene start (bp).1,Turkey_Gene end (bp).1,Turkey_Strand.1,Turkey_Gene description.1,Turkey_Gene name.1,Turkey_Gene type.1,Turkey_distance,Kakapo_BIP number,Kakapo_Gene stable ID,Kakapo_Chromosome/scaffold name,Kakapo_Gene start (bp),Kakapo_Gene end (bp),Kakapo_Strand,Kakapo_Gene description,Kakapo_Gene name,Kakapo_Gene type,Kakapo_Gene stable ID.1,Kakapo_Chromosome/scaffold name.1,Kakapo_Gene start (bp).1,Kakapo_Gene end (bp).1,Kakapo_Strand.1,Kakapo_Gene description.1,Kakapo_Gene name.1,Kakapo_Gene type.1,Kakapo_distance,Golden_Eagle_BIP number,Golden_Eagle_Gene stable ID,Golden_Eagle_Chromosome/scaffold name,Golden_Eagle_Gene start (bp),Golden_Eagle_Gene end (bp),Golden_Eagle_Strand,Golden_Eagle_Gene description,Golden_Eagle_Gene name,Golden_Eagle_Gene type,Golden_Eagle_Gene stable ID.1,Golden_Eagle_Chromosome/scaffold name.1,Golden_Eagle_Gene start (bp).1,Golden_Eagle_Gene end (bp).1,Golden_Eagle_Strand.1,Golden_Eagle_Gene description.1,Golden_Eagle_Gene name.1,Golden_Eagle_Gene type.1,Golden_Eagle_distance,Japanese_Quail_BIP number,Japanese_Quail_Gene stable ID,Japanese_Quail_Chromosome/scaffold name,Japanese_Quail_Gene start (bp),Japanese_Quail_Gene end (bp),Japanese_Quail_Strand,Japanese_Quail_Gene description,Japanese_Quail_Gene name,Japanese_Quail_Gene type,Japanese_Quail_Gene stable ID.1,Japanese_Quail_Chromosome/scaffold name.1,Japanese_Quail_Gene start (bp).1,Japanese_Quail_Gene end (bp).1,Japanese_Quail_Strand.1,Japanese_Quail_Gene description.1,Japanese_Quail_Gene name.1,Japanese_Quail_Gene type.1,Japanese_Quail_distance,Collared_Flycatcher_BIP number,Collared_Flycatcher_Gene stable ID,Collared_Flycatcher_Chromosome/scaffold name,Collared_Flycatcher_Gene start (bp),Collared_Flycatcher_Gene end (bp),Collared_Flycatcher_Strand,Collared_Flycatcher_Gene description,Collared_Flycatcher_Gene name,Collared_Flycatcher_Gene type,Collared_Flycatcher_Gene stable ID.1,Collared_Flycatcher_Chromosome/scaffold name.1,Collared_Flycatcher_Gene start (bp).1,Collared_Flycatcher_Gene end (bp).1,Collared_Flycatcher_Strand.1,Collared_Flycatcher_Gene description.1,Collared_Flycatcher_Gene name.1,Collared_Flycatcher_Gene type.1,Collared_Flycatcher_distance
2495,ENSGALG00010018183,6,24174657,24177355,-1,cytochrome P450 family 17 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:425056],CYP17A1,protein_coding,ENSGALG00010018199,6,24177090,24180773,1,BLOC-1 related complex subunit 7 [Source:NCBI gene (formerly Entrezgene);Acc:423869],BORCS7,protein_coding,265,933,ENSPMJG00000004801,6,21850142,21853474,-1,"steroid 17-alpha-hydroxylase/17,20 lyase [Source:NCBI gene;Acc:107206790]",CYP17A1,protein_coding,ENSPMJG00000004813,6,21854284,21856278,1,BLOC-1 related complex subunit 7 [Source:NCBI gene;Acc:107206794],BORCS7,protein_coding,810,1574,ENSTGUG00000010219,6,22648467,22651928,-1,"steroid 17-alpha-hydroxylase/17,20 lyase [Source:NCBI gene;Acc:100218933]",CYP17A1,protein_coding,ENSTGUG00000010228,6,22652727,22655901,1,BLOC-1 related complex subunit 7 [Source:NCBI gene;Acc:105759368],BORCS7,protein_coding,799,691,ENSAPLG00000012297,6,23582711,23585776,-1,cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593],CYP17A1,protein_coding,ENSAPLG00000004416,6,23586179,23587490,1,BLOC-1 related complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:23516],BORCS7,protein_coding,403,,,,,,,,,,,,,,,,,,,994,ENSSHBG00005003271,6,68738717,68742147,-1,"steroid 17-alpha-hydroxylase/17,20 lyase [Source:NCBI gene;Acc:115608953]",CYP17A1,protein_coding,ENSSHBG00005003312,6,68742854,68745451,1,BLOC-1 related complex subunit 7 [Source:NCBI gene;Acc:115608956],BORCS7,protein_coding,707,,,,,,,,,,,,,,,,,,,1011,ENSCJPG00005019990,6,20479008,20482026,-1,"steroid 17-alpha-hydroxylase/17,20 lyase [Source:NCBI gene;Acc:107316091]",CYP17A1,protein_coding,ENSCJPG00005019991,6,20482084,20483887,1,BLOC-1 related complex subunit 7 [Source:NCBI gene;Acc:107316094],BORCS7,protein_coding,58,686,ENSFALG00000008728,6,24023142,24027518,-1,cytochrome P450 family 17 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2593],CYP17A1,protein_coding,ENSFALG00000027772,6,24027904,24031697,1,BLOC-1 related complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:23516],BORCS7,protein_coding,386
2499,ENSGALG00010021118,6,24391742,24398769,-1,up-regulated during skeletal muscle growth 5 homolog (mouse) [Source:NCBI gene (formerly Entrezgene);Acc:423873],USMG5,protein_coding,ENSGALG00010021120,6,24398317,24421567,1,programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408],PDCD11,protein_coding,452,934,ENSPMJG00000004884,6,22104542,22104811,-1,ATP synthase membrane subunit DAPIT [Source:NCBI gene;Acc:107206862],,protein_coding,ENSPMJG00000004885,6,22105438,22131829,1,programmed cell death 11 [Source:NCBI gene;Acc:107206858],PDCD11,protein_coding,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,ENSMGAG00000022024,8,22962140,22965847,-1,,,protein_coding,ENSMGAG00000010482,8,22965799,22988916,1,programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408],PDCD11,protein_coding,48,997,ENSSHBG00005003514,6,69000890,69003975,-1,ATP synthase membrane subunit DAPIT [Source:NCBI gene;Acc:115608716],,protein_coding,ENSSHBG00005003710,6,69004158,69029500,1,programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408],PDCD11,protein_coding,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,ENSGALG00010002466,6,33298590,33314226,-1,uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592],UROS,protein_coding,ENSGALG00010002487,6,33314263,33324509,1,BRCA2 and CDKN1A interacting protein [Source:HGNC Symbol;Acc:HGNC:978],BCCIP,protein_coding,37,942,ENSPMJG00000005911,6,31361795,31369578,-1,uroporphyrinogen III synthase [Source:NCBI gene;Acc:107206827],UROS,protein_coding,ENSPMJG00000005912,6,31370354,31378459,1,BRCA2 and CDKN1A interacting protein [Source:NCBI gene;Acc:107206826],BCCIP,protein_coding,776,1591,ENSTGUG00000011481,6,32126405,32136385,-1,uroporphyrinogen III synthase [Source:NCBI gene;Acc:100222432],UROS,protein_coding,ENSTGUG00000011485,6,32136205,32144317,1,"Taeniopygia guttata BRCA2 and CDKN1A interacting protein (BCCIP), mRNA. [Source:RefSeq mRNA;Acc:NM_001245291]",BCCIP,protein_coding,180,701,ENSAPLG00000012701,6,33605790,33620765,-1,uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592],UROS,protein_coding,ENSAPLG00000012566,6,33621399,33630982,1,BRCA2 and CDKN1A interacting protein [Source:HGNC Symbol;Acc:HGNC:978],BCCIP,protein_coding,634,,,,,,,,,,,,,,,,,,,1005,ENSSHBG00005004544,6,79586276,79599694,-1,uroporphyrinogen III synthase [Source:NCBI gene;Acc:115607954],UROS,protein_coding,ENSSHBG00005004551,6,79599240,79612124,1,BRCA2 and CDKN1A interacting protein [Source:HGNC Symbol;Acc:HGNC:978],BCCIP,protein_coding,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,ENSGALG00010022116,7,13282800,13296245,-1,cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576],CYP20A1,protein_coding,ENSGALG00010022124,7,13295710,13301842,1,,,protein_coding,535,957,ENSPMJG00000018328,7,13299216,13314275,-1,cytochrome P450 20A1 [Source:NCBI gene;Acc:107207431],CYP20A1,protein_coding,ENSPMJG00000018329,7,13314393,13320795,1,alpha-aspartyl dipeptidase-like [Source:NCBI gene;Acc:107207432],,protein_coding,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,ENSMGAG00000008831,7,13152537,13165837,-1,cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576],CYP20A1,protein_coding,ENSMGAG00000019797,7,13166081,13171611,1,,,protein_coding,244,885,ENSSHBG00005002889,6,15050039,15066134,-1,cytochrome P450 20A1 [Source:NCBI gene;Acc:115608727],CYP20A1,protein_coding,ENSSHBG00005002906,6,15066031,15073192,1,alpha-aspartyl dipeptidase-like [Source:NCBI gene;Acc:115608728],,protein_coding,103,908,ENSACCG00020001252,6,25759161,25776380,-1,cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576],CYP20A1,protein_coding,ENSACCG00020001270,6,25776127,25783961,1,,,protein_coding,253,1034,ENSCJPG00005015897,7,12007086,12020016,-1,cytochrome P450 20A1 [Source:NCBI gene;Acc:107316593],CYP20A1,protein_coding,ENSCJPG00005015898,7,12019714,12025128,1,alpha-aspartyl dipeptidase-like [Source:NCBI gene;Acc:107316596],,protein_coding,302,704,ENSFALG00000003678,7,13705800,13720794,-1,cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576],CYP20A1,protein_coding,ENSFALG00000003669,7,13721631,13728408,1,,,protein_coding,837
2609,ENSGALG00010021480,7,21864748,21877524,-1,,,protein_coding,ENSGALG00010021489,7,21877558,21883574,1,cyclin Pas1/PHO80 domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:424204],CNPPD1,protein_coding,34,972,ENSPMJG00000019719,7,22028652,22041928,-1,reticulophagy regulator family member 2 [Source:NCBI gene;Acc:107207613],,protein_coding,ENSPMJG00000019720,7,22042293,22047735,1,cyclin Pas1/PHO80 domain containing 1 [Source:NCBI gene;Acc:107207614],CNPPD1,protein_coding,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,ENSACCG00020000334,6,35809586,35824575,-1,reticulophagy regulator family member 2 [Source:NCBI gene;Acc:115342566],,protein_coding,ENSACCG00020000361,6,35824593,35831487,1,cyclin Pas1/PHO80 domain containing 1 [Source:NCBI gene;Acc:115342567],CNPPD1,protein_coding,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,ENSGALG00010023862,8,11660503,11670602,-1,tRNA methyltransferase 13 homolog [Source:HGNC Symbol;Acc:HGNC:25502],TRMT13,protein_coding,ENSGALG00010023890,8,11670612,11683063,1,SAS-6 centriolar assembly protein [Source:NCBI gene (formerly Entrezgene);Acc:424471],SASS6,protein_coding,10,1008,ENSPMJG00000019327,8,12301263,12306924,-1,tRNA methyltransferase 13 homolog [Source:NCBI gene;Acc:107208061],TRMT13,protein_coding,ENSPMJG00000019328,8,12306923,12317541,1,SAS-6 centriolar assembly protein [Source:NCBI gene;Acc:107208058],SASS6,protein_coding,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,ENSACCG00020009604,12,21430082,21438191,-1,tRNA methyltransferase 13 homolog [Source:NCBI gene;Acc:115348838],TRMT13,protein_coding,ENSACCG00020009632,12,21438075,21451716,1,SAS-6 centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:25403],SASS6,protein_coding,116,1080,ENSCJPG00005021522,8,10240328,10246435,-1,tRNA methyltransferase 13 homolog [Source:NCBI gene;Acc:107317455],TRMT13,protein_coding,ENSCJPG00005021523,8,10246519,10254963,1,SAS-6 centriolar assembly protein [Source:NCBI gene;Acc:107317452],SASS6,protein_coding,84,,,,,,,,,,,,,,,,,,
2723,ENSGALG00010022506,8,19304027,19308568,-1,EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531],EBNA1BP2,protein_coding,ENSGALG00010022534,8,19308585,19330873,1,cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485],CFAP57,protein_coding,17,1018,ENSPMJG00000019481,8,20172233,20178083,-1,EBNA1 binding protein 2 [Source:NCBI gene;Acc:107208223],EBNA1BP2,protein_coding,ENSPMJG00000019482,8,20178169,20201107,1,cilia and flagella associated protein 57 [Source:NCBI gene;Acc:107208380],CFAP57,protein_coding,86,,,,,,,,,,,,,,,,,,,757,ENSAPLG00000009109,8,20570928,20576940,-1,EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531],EBNA1BP2,protein_coding,ENSAPLG00000009398,8,20576056,20597309,1,cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485],CFAP57,protein_coding,884,,,,,,,,,,,,,,,,,,,1317,ENSSHBG00005014768,9,50780196,50786443,-1,EBNA1 binding protein 2 [Source:NCBI gene;Acc:115611657],EBNA1BP2,protein_coding,ENSSHBG00005014776,9,50786552,50808674,1,cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485],CFAP57,protein_coding,109,252,ENSACCG00020004368,12,30195660,30202254,-1,EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531],EBNA1BP2,protein_coding,ENSACCG00020004399,12,30202253,30225679,1,cilia and flagella associated protein 57 [Source:HGNC Symbol;Acc:HGNC:26485],CFAP57,protein_coding,1,1087,ENSCJPG00005009046,8,17300815,17304361,-1,EBNA1 binding protein 2 [Source:NCBI gene;Acc:107317351],EBNA1BP2,protein_coding,ENSCJPG00005009047,8,17304266,17323767,1,cilia and flagella associated protein 57 [Source:NCBI gene;Acc:107317400],CFAP57,protein_coding,95,,,,,,,,,,,,,,,,,,
2761,ENSGALG00010025280,8,24797266,24801280,-1,heat shock protein family B (small) member 11 [Source:NCBI gene (formerly Entrezgene);Acc:424654],HSPB11,protein_coding,ENSGALG00010025315,8,24801307,24807033,1,leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792],LRRC42,protein_coding,27,1036,ENSPMJG00000001541,8,26383205,26385580,-1,heat shock protein family B (small) member 11 [Source:NCBI gene;Acc:107208502],IFT25,protein_coding,ENSPMJG00000001544,8,26385756,26392211,1,leucine rich repeat containing 42 [Source:NCBI gene;Acc:107208336],LRRC42,protein_coding,176,,,,,,,,,,,,,,,,,,,767,ENSAPLG00000028953,8,26722333,26725418,-1,heat shock protein family B (small) member 11 [Source:HGNC Symbol;Acc:HGNC:25019],IFT25,protein_coding,ENSAPLG00000002507,8,26726120,26726596,1,leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792],LRRC42,protein_coding,702,,,,,,,,,,,,,,,,,,,1345,ENSSHBG00005005227,9,57711430,57714569,-1,heat shock protein family B (small) member 11 [Source:NCBI gene;Acc:115611296],IFT25,protein_coding,ENSSHBG00005005238,9,57714594,57721299,1,leucine rich repeat containing 42 [Source:NCBI gene;Acc:115611297],LRRC42,protein_coding,25,,,,,,,,,,,,,,,,,,,1104,ENSCJPG00005012273,8,22427523,22428952,-1,heat shock protein family B (small) member 11 [Source:NCBI gene;Acc:107317726],IFT25,protein_coding,ENSCJPG00005012274,8,22429257,22433520,1,leucine rich repeat containing 42 [Source:NCBI gene;Acc:107317718],LRRC42,protein_coding,305,,,,,,,,,,,,,,,,,,
2834,ENSGALG00010015261,9,14800055,14820712,-1,IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251],IQCG,protein_coding,ENSGALG00010015296,9,14820680,14823484,1,ribosomal protein L35a [Source:NCBI gene (formerly Entrezgene);Acc:424924],RPL35A,protein_coding,32,1059,ENSPMJG00000019617,9,15621775,15642849,-1,IQ motif containing G [Source:NCBI gene;Acc:107208777],IQCG,protein_coding,ENSPMJG00000019618,9,15643462,15646730,1,ribosomal protein L35a [Source:NCBI gene;Acc:107208780],RPL35A,protein_coding,613,1826,ENSTGUG00000009672,9,16113649,16137622,-1,IQ motif containing G [Source:NCBI gene;Acc:100218230],IQCG,protein_coding,ENSTGUG00000009679,9,16137730,16141497,1,ribosomal protein L35a [Source:NCBI gene;Acc:100223017],RPL35A,protein_coding,108,,,,,,,,,,,,,,,,,,,156,ENSMGAG00000008073,11,14383182,14403879,-1,IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251],IQCG,protein_coding,ENSMGAG00000008088,11,14404237,14406370,1,ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345],RPL35A,protein_coding,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795,ENSFALG00000007536,9,16772470,16793938,-1,IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251],IQCG,protein_coding,ENSFALG00000027137,9,16793374,16797831,1,ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345],RPL35A,protein_coding,564
2839,ENSGALG00010015970,9,15643066,15646133,1,thrombopoietin [Source:NCBI gene (formerly Entrezgene);Acc:414803],THPO,protein_coding,ENSGALG00010015987,9,15646550,15648546,-1,RNA polymerase II subunit H [Source:NCBI gene (formerly Entrezgene);Acc:424954],POLR2H,protein_coding,417,1069,ENSPMJG00000001679,9,16669064,16672266,1,thrombopoietin [Source:NCBI gene;Acc:107209005],,protein_coding,ENSPMJG00000001681,9,16672178,16673680,-1,RNA polymerase II subunit H [Source:NCBI gene;Acc:107209007],POLR2H,protein_coding,88,1831,ENSTGUG00000010381,9,17165925,17168414,1,thrombopoietin [Source:NCBI gene;Acc:100231762],,protein_coding,ENSTGUG00000010383,9,17168603,17170968,-1,"Taeniopygia guttata RNA polymerase II subunit H (POLR2H), mRNA. [Source:RefSeq mRNA;Acc:NM_001245316]",POLR2H,protein_coding,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,ENSFALG00000008174,9,17887345,17889638,1,,,protein_coding,ENSFALG00000008177,9,17889659,17892326,-1,"RNA polymerase II, I and III subunit H [Source:HGNC Symbol;Acc:HGNC:9195]",POLR2H,protein_coding,21
2844,ENSGALG00010018026,9,16872577,16889603,1,coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244],CCDC39,protein_coding,ENSGALG00010018039,9,16889762,16961936,-1,tetratricopeptide repeat domain 14 [Source:NCBI gene (formerly Entrezgene);Acc:424970],TTC14,protein_coding,159,1071,ENSPMJG00000002417,9,18067470,18086279,1,coiled-coil domain containing 39 [Source:NCBI gene;Acc:107208932],CCDC39,protein_coding,ENSPMJG00000002481,9,18086300,18095510,-1,tetratricopeptide repeat domain 14 [Source:NCBI gene;Acc:107208594],TTC14,protein_coding,21,1836,ENSTGUG00000010586,9,18573630,18591379,1,coiled-coil domain containing 39 [Source:NCBI gene;Acc:100218280],CCDC39,protein_coding,ENSTGUG00000010592,9,18591537,18600570,-1,tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697],TTC14,protein_coding,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,ENSFALG00000008311,9,19326820,19348151,1,coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244],CCDC39,protein_coding,ENSFALG00000008319,9,19347564,19358613,-1,tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:HGNC:24697],TTC14,protein_coding,587
2846,ENSGALG00010018137,9,17129553,17133829,-1,NADH:ubiquinone oxidoreductase subunit B5 [Source:NCBI gene (formerly Entrezgene);Acc:424978],NDUFB5,protein_coding,ENSGALG00010018143,9,17133633,17137484,1,mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652],MRPL47,protein_coding,196,1072,ENSPMJG00000002618,9,18354925,18359080,-1,NADH:ubiquinone oxidoreductase subunit B5 [Source:NCBI gene;Acc:107208527],NDUFB5,protein_coding,ENSPMJG00000002630,9,18359359,18363525,1,mitochondrial ribosomal protein L47 [Source:NCBI gene;Acc:107208975],MRPL47,protein_coding,279,1837,ENSTGUG00000010639,9,18855475,18860666,-1,NADH:ubiquinone oxidoreductase subunit B5 [Source:NCBI gene;Acc:100190339],NDUFB5,protein_coding,ENSTGUG00000010649,9,18860919,18864580,1,"Taeniopygia guttata mitochondrial ribosomal protein L47-like (LOC100190656), mRNA. [Source:RefSeq mRNA;Acc:NM_001245661]",MRPL47,protein_coding,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,ENSCJPG00005014248,9,15341998,15344875,-1,NADH:ubiquinone oxidoreductase subunit B5 [Source:NCBI gene;Acc:107318123],NDUFB5,protein_coding,ENSCJPG00005014249,9,15344982,15347552,1,mitochondrial ribosomal protein L47 [Source:NCBI gene;Acc:107318122],MRPL47,protein_coding,107,804,ENSFALG00000025849,9,19611365,19616792,-1,NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700],NDUFB5,protein_coding,ENSFALG00000008365,9,19617424,19620840,1,mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652],MRPL47,protein_coding,632
2902,ENSGALG00010010671,Z,8478338,8481305,-1,sigma non-opioid intracellular receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:100859748],SIGMAR1,protein_coding,ENSGALG00010010810,Z,8481385,8485710,1,galactose-1-phosphate uridylyltransferase [Source:HGNC Symbol;Acc:HGNC:4135],GALT,protein_coding,80,1091,ENSPMJG00000005217,Z,7685736,7689358,-1,sigma non-opioid intracellular receptor 1 [Source:NCBI gene;Acc:107215747],SIGMAR1,protein_coding,ENSPMJG00000005218,Z,7689357,7705553,1,galactose-1-phosphate uridylyltransferase [Source:NCBI gene;Acc:107198180],GALT,protein_coding,1,1901,ENSTGUG00000022092,Z,46696054,46700148,-1,sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157],SIGMAR1,protein_coding,ENSTGUG00000001748,Z,46699437,46705725,1,galactose-1-phosphate uridylyltransferase [Source:NCBI gene;Acc:101233836],GALT,protein_coding,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,ENSCJPG00005005704,Z,7323825,7325300,-1,sigma non-opioid intracellular receptor 1 [Source:NCBI gene;Acc:107305819],SIGMAR1,protein_coding,ENSCJPG00005005705,Z,7325450,7328220,1,galactose-1-phosphate uridylyltransferase [Source:NCBI gene;Acc:107305818],GALT,protein_coding,150,821,ENSFALG00000023544,Z,8222369,8225974,-1,sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157],SIGMAR1,protein_coding,ENSFALG00000009820,Z,8226761,8231697,1,galactose-1-phosphate uridylyltransferase [Source:HGNC Symbol;Acc:HGNC:4135],GALT,protein_coding,787
2911,ENSGALG00010009704,Z,9661441,9671103,-1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:NCBI gene (formerly Entrezgene);Acc:431658]",RGP1,protein_coding,ENSGALG00010009722,Z,9671127,9681047,1,glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986],GBA2,protein_coding,24,1093,ENSPMJG00000005367,Z,8940018,8951133,-1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:NCBI gene;Acc:107198395]",RGP1,protein_coding,ENSPMJG00000005368,Z,8951159,8967481,1,non-lysosomal glucosylceramidase-like [Source:NCBI gene;Acc:107198335],GBA2,protein_coding,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161,ENSCJPG00005006309,Z,8357127,8366643,-1,"RGP1 homolog, RAB6A GEF complex partner 1 [Source:NCBI gene;Acc:107305800]",RGP1,protein_coding,ENSCJPG00005006317,Z,8366257,8376023,1,glucosylceramidase beta 2 [Source:NCBI gene;Acc:107305799],GBA2,protein_coding,386,,,,,,,,,,,,,,,,,,
